city,lat,lng
Dh┗lia,20.9,74.7833
Gaya,24.75,85.0167
Jalgaon,21.0167,75.5667
Kurnool,15.8222,78.035
Udaipur,24.5833,73.6833
Bellary,15.15,76.915
S─ngli,16.8667,74.5667
Tuticorin,8.7833,78.1333
Calicut,11.25,75.7667
Akola,20.7333,77
Bh─galpur,25.25,87.0167
S┤kar,27.6119,75.1397
Tumk┗r,13.33,77.1
Quilon,8.8853,76.5864
Muzaffarnagar,29.4708,77.7033
Bh┤lw─ra,25.35,74.6333
Niz─m─b─d,18.6704,78.1
Bh─tp─ra,22.8667,88.4167
K─kin─da,16.9333,82.2167
Parbhani,19.2704,76.76
P─nih─ti,22.69,88.37
L─t┗r,18.4004,76.57
Rohtak,28.9,76.5667
R─jap─laiyam,9.4204,77.58
Ahmadnagar,19.0833,74.7333
Cuddapah,14.4667,78.8167
R─jahmundry,16.9833,81.7833
Alwar,27.5667,76.6167
Muzaffarpur,26.12,85.3833
Bil─spur,22.15,82.0167
Mathura,27.4833,77.6833
K─m─rh─ti,22.67,88.37
Pati─la,30.3204,76.385
Saugor,23.8504,78.75
Bij─pur,16.8244,75.7154
Brahmapur,19.32,84.8
Sh─hj─npur,27.8804,79.905
Trich┗r,10.52,76.21
Barddham─n,23.25,87.85
Kulti,23.73,86.85
Sambalpur,21.4704,83.9701
Purnea,25.78,87.47
Hisar,29.1489,75.7367
F┤roz─b─d,27.15,78.3949
B┤dar,17.9229,77.5175
R─mpur,28.8154,79.025
Shiliguri,26.72,88.42
B─li,22.65,88.34
P─n┤pat,29.4004,76.97
Kar┤mnagar,18.4333,79.15
Bhuj,23.2504,69.81
Ichalkaranji,16.7,74.47
Tirupati,13.65,79.42
Hospet,15.2667,76.4
─┤zawl,23.7104,92.72
Sannai,24.16,80.83
B─r─sat,22.2333,88.45
Ratl─m,23.3167,75.0667
Handw─ra,34.4,74.28
Drug,21.19,81.28
Imph─l,24.82,93.95
Anantapur,14.6833,77.6
Et─wah,26.7855,79.015
R─ich┗r,16.2104,77.355
Ongole,15.5,80.05
Bharatpur,27.2172,77.49
Begusarai,25.42,86.13
Son┤pat,28.9958,77.0114
R─mgundam,18.8,79.45
H─pur,28.7437,77.7628
Uluberiya,22.47,88.11
Porbandar,21.6425,69.6047
P─li,25.7725,73.3233
Vizianagaram,18.1167,83.4167
Puducherry,11.93,79.83
Karn─l,29.6804,76.97
N─gercoil,8.17,77.43
Tanjore,10.8,79.15
Sambhal,28.58,78.55
Shimla,31.1033,77.1722
Gh─nd┤nagar,23.22,72.68
Shillong,25.5744,91.8789
New Delhi,28.7,77.2
Port Blair,11.6667,92.75
Gangtok,27.33,88.62
Koh┤ma,25.6667,94.1194
It─nagar,27.1,93.62
Panaji,15.48,73.83
Dam─n,20.417,72.85
Kavaratti,10.5626,72.6369
Panchkula,30.6915,76.8537
Kagazn─g─r,19.3316,79.4661
Bengaluru,12.9716,77.5946
